hombre detenido en noviembre de 1975 | affected by | dina
interrogation | occurs at | antofagasta
physical abuse | occurs at | villa grimaldi
torture | occurs at | vallenar
russian roulette | occurs at | arica
russian roulette | occurs at | calama
execution witnessing | occurs at | estadio nacional
war | occurs at | pisagua
fusilamiento | occurs at | pisagua
execution | occurs at | iquique
discovery | occurs at | pisagua
imprisonment | occurs at | pisagua
appointment | occurs at | pisagua
death | occurs at | pisagua
death | occurs at | pisagua
release | occurs at | pisagua
death | occurs at | pisagua
discovery | occurs at | pisagua
detenido en octubre | occurs at | cerro chena
detenido en septiembre | occurs at | isla quiriquina
detenido en septiembre | occurs at | base aerea cerro moreno
detenido en septiembre | occurs at | comisaria de chol-chol
hallazgo de osamentas | occurs at | campo de detencion de pisagua
desentierro del primer cuerpo | occurs at | campo de detencion de pisagua
hallazgo de cuerpos en terrenos cercanos a la carcel de pisagua | occurs at | pisagua
interposicion de denuncia por inhumacion ilegal | occurs at | pozo almonte
death | occurs at | pisagua
death | occurs at | pisagua
deportacion de comunistas | occurs at | pisagua
investigacion de conexiones entre traficantes de cocaina y poder judicial | occurs at | pisagua
condena a muerte de haroldo quinteros | occurs at | pisagua
detention | occurs at | estadio regional de concepcion
detention | occurs at | fuerte borgono
exposure to extreme temperatures | occurs at | regimiento n 14 de aysen
exposure to extreme temperatures | occurs at | campo de prisioneros chacabuco
fusilamiento | occurs at | pisagua
fusilamiento | occurs at | pisagua
fusilamiento | occurs at | pisagua
ejecutado | occurs at | valparaiso
detention at carcel publica de arica | occurs at | arica
detention | occurs at | pisagua
selection | occurs at | pisagua
interrogation | occurs at | pisagua
execution | occurs at | pisagua
detenido en septiembre | occurs at | chol chol
detenido en mayo | occurs at | la serena
detenido en septiembre | occurs at | cochrane
detenido en septiembre | occurs at | salamanca
detenido en septiembre | occurs at | valdivia
detenido en noviembre | occurs at | concepcion
detentions | occurs at | colon nº 30
detentions | occurs at | colon nº 30
increase in detentions | occurs at | colon nº 30
peak of repression | occurs at | colon nº 30
attack at iglesia del carmen | occurs at | calle andres bello
death | occurs at | pisagua
detenido en septiembre de 1973 | occurs at | copiapo
detenido en septiembre de 1973 | occurs at | andes
detenida en enero de 1974 | occurs at | londres 38
detenido en enero de 1975 | occurs at | villa grimaldi
detenido en diciembre de 1983 | occurs at | general mackenna
detenido en septiembre | occurs at | rahue
detenido en diciembre | occurs at | talca
detenido en octubre | occurs at | san felipe
detenido en diciembre | occurs at | general mackenna
detenciones | occurs at | pisagua
hallazgo de pisagua | occurs at | cementerio de pisagua
aplicacion de ley de amnistia | occurs at | calle luis cruz martinez
detention | occurs at | base aerea los condores
detention | occurs at | batallon logistico n° 6 pisagua
detention | occurs at | campamento de prisioneros de pisagua
execution | occurs at | valle de azapa
execution | occurs at | cuartel de investigaciones
execution | occurs at | pisagua
arrest | occurs at | iquique
death | occurs at | plaza brasil
medical treatment | occurs at | iquique
death | occurs at | plaza brasil
detention | occurs at | colegio don bosco
death | occurs at | colegio don bosco
legal process | occurs at | colegio don bosco
disappearance | occurs at | valle de azapa
execution | occurs at | valle de azapa
transfer | occurs at | caleta de pisagua
execution | occurs at | caleta de pisagua
tribunal | occurs at | caleta de pisagua
execution | occurs at | caleta de pisagua
execution | occurs at | caleta de pisagua
relegation | occurs at | calle oscar quina
release | occurs at | salvador allende
michel nash | occurs at | pisagua
jorge marin rossel | occurs at | regimiento de telecomunicaciones
williams millar sanhueza | occurs at | regimiento de telecomunicaciones
manuel heriberto araya zavala | occurs at | regimiento de telecomunicaciones
primeros fusilamientos | occurs at | pisagua
muerte | occurs at | la chancheria
declaration | occurs at | ex carcel publica
utilization | occurs at | mercado
utilization | occurs at | teatro municipal
discovery | occurs at | fosa
declaration | occurs at | regimiento de telecomunicaciones
declaration | occurs at | supermercado
declaration | occurs at | hotel de pisagua
declaration | occurs at | cooperativa de consumo norte grande limitada coopenor
declaration | occurs at | cuartel general de la sexta division del ejercito
declaration | occurs at | caleta de pisagua
detention | occurs at | calle angamos
disappearance | occurs at | calle angamos
muertes | occurs at | iquique
ejecucion | occurs at | iquique
publicacion | occurs at | iquique
isaias higueras zuniga | occurs at | pisagua
hugo martinez guillen | occurs at | pisagua
juan rojas osega | occurs at | pisagua
fusilamiento | occurs at | iquique
fusilamiento | occurs at | iquique
fusilamiento | occurs at | iquique
detencion | occurs at | las machas
detencion | occurs at | buen pastor
detencion | occurs at | carcel publica
utilizado | occurs at | pisagua
fusilado | occurs at | pisagua
consejo de guerra | occurs at | pisagua
death | occurs at | la comisaria de carabineros de iquique
death | occurs at | pisagua
detenidos en campamento | occurs at | las dunas
traslado de presas politicas | occurs at | carcel
detenido | occurs at | calama
detenido | occurs at | pisagua
intento de cambio de nombre | occurs at | iquique
muerte | occurs at | iquique
detention | occurs at | alto hospicio
detention | occurs at | iquique
detention | occurs at | iquique
disappearance | occurs at | iquique
death | occurs at | iquique
release | occurs at | alto hospicio
fugitive report | occurs at | iquique
fugitive report | occurs at | iquique
detention center los condores | occurs at | base aerea los condores
detention and torture at battalion logistico n° 6 pisagua | occurs at | batallon logistico n° 6 pisagua
detention and torture at campamento de prisioneros de pisagua | occurs at | campamento de prisioneros de pisagua
condena | occurs at | comisaria de carabineros no 3 de arica
base aerea los condores | occurs at | base aerea los condores
batallon logistico n° 6 pisagua | occurs at | batallon logistico n 6 pisagua
decreto de ley | occurs at | arica
desaparicion de luis pino soto | occurs at | arica
carcel buen pastor | occurs at | calle luis cruz martinez nº 1260
carcel publica de arica | occurs at | calle baquedano nº 01, poblacion el morro
detention | occurs at | iquique
detention | occurs at | arica
fusilamiento | occurs at | pisagua
fusilamiento | occurs at | pisagua
fusilamiento | occurs at | pisagua
detention center | occurs at | avenida thompson
detention center | occurs at | pisagua
execution | occurs at | pisagua
arrest | occurs at | comisaria
death | occurs at | comisaria
nelson marquez | occurs at | pisagua
martires de pisagua | occurs at | pisagua
julio c cabezas gacitua | occurs at | pisagua
jose r cordova croxato | occurs at | pisagua
juan valencia hinojosa | occurs at | pisagua
mario morris barrios | occurs at | pisagua
humberto lizardi flores | occurs at | pisagua
freddy taberna gallegos | occurs at | pisagua
jose sampson ocaranza | occurs at | pisagua
juan a ruz diaz | occurs at | pisagua
rodolfo fuenzalida fernandez | occurs at | pisagua
german palominos lamas | occurs at | pisagua
luis higuera | occurs at | pisagua
luis toro castillo | occurs at | pisagua
alberto yanez carvajal | occurs at | pisagua
manuel sanhueza mellado | occurs at | pisagua
marcelino lamas largo | occurs at | pisagua
death | occurs at | arica
detention | occurs at | cuartel de la policia de investigaciones
death | occurs at | valle de azapa
confirmation of sentence | occurs at | arica
sentencing | occurs at | arica
secuestro de grober venegas | occurs at | valle de azapa
sentencia de primera instancia | occurs at | arica
condena por violacion a los derechos humanos | occurs at | arica
detention | occurs at | arica
execution | occurs at | valle de azapa
confirmation of conviction | occurs at | arica
confirmation of sentence | occurs at | avda diego portales
declaration of monument | occurs at | mercado
death | occurs at | cuartel de investigaciones iquique
discovery of remains | occurs at | pisagua
arrest | occurs at | valparaiso
arrest | occurs at | iquique
arrest | occurs at | valparaiso
arrest | occurs at | valparaiso
arrest | occurs at | iquique
detention | occurs at | carcel publica de arica
increase of detainees | occurs at | carcel publica de arica
transfer of female prisoners | occurs at | carcel publica de arica
disappearance of grober venegas islas | occurs at | avenida diego portales
discovery of clandestine grave | occurs at | pisagua
execution of luis fernando rojas valenzuela | occurs at | iquique
execution of juan calderon villalon | occurs at | pisagua
fusilamiento | occurs at | iquique
ejecutado | occurs at | iquique
muerto en tortura | occurs at | iquique
estado de emergencia | occurs at | las machas
arrest | occurs at | londres 38
medical treatment | occurs at | londres 38
arrest | occurs at | valdivia
medical treatment | occurs at | valdivia
declaration | occurs at | pisagua
declaration | occurs at | pisagua
declaration | occurs at | pisagua
use | occurs at | pisagua
use | occurs at | pisagua
use | occurs at | pisagua
detenido en septiembre de 1973 | occurs at | osorno
detenido en octubre de 1973 | occurs at | linares
detenido en octubre de 1973 | occurs at | curanilahue
execution | occurs at | pisagua
detencion | occurs at | talca
detencion | occurs at | villa grimaldi
detenido en octubre de 1985 | occurs at | santiago
detenido en octubre de 1973 | occurs at | las salinas
detenido en agosto de 1974 | occurs at | calama
arrest | occurs at | calama
arrest | occurs at | villa grimaldi
arrest | occurs at | puerto aysen
arrest | occurs at | punta arenas
detention | occurs at | villa grimaldi
detention | occurs at | regimiento talca
declaration | occurs at | puerto de pisagua
discovery of bodies in pit | occurs at | fosa
torture | occurs at | estadio nacional
imprisonment | occurs at | regimiento arica
torture | occurs at | recinto de la dina de la ex iglesia divina providencia
detention | occurs at | recinto de la dina de la ex iglesia divina providencia
detention | occurs at | villa grimaldi
detention | occurs at | regimiento de ingenieros de tejas verdes
attack at iglesia del carmen | occurs at | arica
dina | if part of | carabineros
corporacion de ex presos politicos de pisagua | if part of | catedra
partido socialista de iquique | if part of | partido socialista de iquique
partido socialista de iquique | if part of | central nacional de informaciones
partido de recabaren | if part of | partido socialista
colonia dignidad | if part of | gobierno de chile
campo de detencion de pisagua | if part of | campo de concentracion de pisagua
corte de apelaciones de santiago | if part of | corte suprema
partido socialista de iquique | if part of | obispo javier prado aranguiz
vicaria de la solidaridad de la iglesia catolica | if part of | gobierno de patricio aylwin
ejercito | if part of | comision nacional sobre prision politica y tortura
juventudes comunistas | if part of | mapu oc
gendarmeria | if part of | dina
gendarmeria | if part of | cni
batallon logistico n° 6 pisagua | if part of | campamento de prisioneros de pisagua
ejercito | if part of | armada
comisaria de chol-chol | if part of | comisaria de salamanca
regimiento arica | if part of | destacamento de infanteria de marina n° 4 cochrane
carabineros de valdivia | if part of | carabineros de valdivia
armagedon | if part of | patria y libertad
coordinadora serpaj | if part of | serpaj
dina | if part of | organismos de seguridad
regimiento chorrillos de talca | if part of | carabineros
regimiento yungay de san felipe | if part of | carabineros
cuartel general de investigaciones (general mackenna) | if part of | carabineros
udi | if part of | dina
vicaria de la solidaridad | if part of | grupo proceso
servicio de cooperacion tecnica | if part of | cire
agitacion y propaganda | if part of | partido socialista
colegio don bosco | if part of | iglesia catolica
congregacion salesiana | if part of | iglesia catolica
carabineros | if part of | fuerzas armadas
carabineros | if part of | congregacion salesiana
regimiento cazadores de valdivia | if part of | comandancia de la guarnicion de ejercito de arica
escuela de suboficiales del ejercito | if part of | escuela de caballeria blindada
escuela de caballeria blindada | if part of | comandancia de la guarnicion de ejercito de arica
cire, centro de inteligencia regional | if part of | comandancia de la guarnicion de ejercito de arica
ejercito | if part of | regimiento logistico n 6 pisagua
juventudes comunistas | if part of | ejercito
partido socialista | if part of | ejercito
emporchi | if part of | ferrocarriles del estado
cuartel de investigaciones | if part of | regimiento de telecomunicaciones
regimiento rancagua | if part of | regimiento de telecomunicaciones
regimiento militar | if part of | ejercito
ex carcel publica | if part of | hotel de pisagua
mercado | if part of | teatro municipal
teatro municipal | if part of | ministerio de educacion
ex carcel publica | if part of | ministerio de educacion
hotel de pisagua | if part of | ministerio de educacion
regimiento de telecomunicaciones | if part of | ejercito
supermercado | if part of | ejercito
partido comunista | if part of | ejercito
partido comunista de chile | if part of | policia de investigaciones de arica
consejo de defensa del estado | if part of | corte suprema
partido comunista | if part of | unidad popular
museo de la memoria | if part of | ejercito de chile
juventudes comunistas | if part of | mir
mapu oc | if part of | mir
ejercito | if part of | ejercito
grupo subversivo agp | if part of | fuerzas armadas
colegio don bosco | if part of | partido socialista
cni | if part of | cni
jjcc | if part of | concejo municipal
empresa portuaria de chile | if part of | memoria viva
juventud socialista | if part of | empresa portuaria de chile
juventud socialista | if part of | ferrocarriles del estado de iquique
partido socialista | if part of | juventud socialista
sexta division | if part of | ejercito
memoriaviva | if part of | corte suprema
servicio de inteligencia de carabineros | if part of | carabineros
servicio de inteligencia de la fuerza aerea | if part of | fuerza aerea
difa | if part of | servicio de inteligencia de la fuerza aerea
servicio de inteligencia de carabineros | if part of | cni
carcel buen pastor de iquique | if part of | carcel publica de arica
izquierda cristiana | if part of | carabineros
comunistas | if part of | mapu oc
comunistas | if part of | juventudes comunistas
comunistas | if part of | militantes socialistas
campamento de prisioneros de pisagua | if part of | sexta division del ejercito
martires de pisagua | if part of | pisagua
dina | if part of | cni
policia de investigaciones de arica | if part of | centro de inteligencia regional
ejercito de chile | if part of | centro de inteligencia regional
policia de investigaciones | if part of | centro de inteligencia regional
cire | if part of | ejercito de chile
cire | if part of | cire
carabineros | if part of | vicaria de la solidaridad
juventudes comunistas | if part of | partido comunista
cire | if part of | comandancia de la guarnicion de ejercito de arica
carcel publica de arica | if part of | centros de inteligencia regional (cire)
vicaria de la solidaridad | if part of | ejercito de chile
mir | if part of | mir
corporacion de derechos humanos y sitios de la memoria de tarapaca | if part of | pinochet
consejo de monumentos nacionales | if part of | municipalidad de huara
dina | if part of | comisaria de curanilahue
fiscalia militar de osorno | if part of | escuela de artilleria de linares
el supermercado | if part of | pisagua
carabineros | if part of | comision
cni | if part of | carabineros
carabineros de chile | if part of | dina
regimiento talca | if part of | dina
municipalidad de huara | if part of | consejo de monumentos nacionales
dina | if part of | dina
cordones industriales | if part of | grupos involucrados en las movilizaciones
cuerpo de generales | if part of | ejercito
fuerzas armadas | if part of | fuerzas armadas y carabineros
carabineros | if part of | fuerzas armadas y carabineros
corporacion de ex presos politicos de pisagua | if part of | fuerzas armadas y carabineros
carcel publica de iquique | if part of | cni
cruz roja internacional | if part of | dina
dina | affected by | interrogation
cni | affected by | physical abuse
carabineros | cause of | torture
dina | affected by | russian roulette
cni | affected by | russian roulette
cni | affected by | execution witnessing
corporacion de ex presos politicos de pisagua | unspecified | war
partido socialista de iquique | affected by | fusilamiento
partido socialista de iquique | cause of | execution
partido socialista de iquique | affected by | imprisonment
central nacional de informaciones | unspecified | discovery
central nacional de informaciones | unspecified | appointment
partido de recabaren | affected by | death
partido socialista | cause of | discovery
comision | cause of | detenido en octubre
comision | affected by | detenido en septiembre
comision | affected by | detenido en septiembre
comision | affected by | detenido en septiembre
colonia dignidad | cause of | hallazgo de osamentas
vicaria de la solidaridad | affected by | interposicion de denuncia por inhumacion ilegal
comision de verdad y reconciliacion | unspecified | hallazgo de osamentas
conectadosconlamemoria | cause of | death
conectadosconlamemoria | cause of | death
corte de apelaciones de santiago | unspecified | report
ejercito | cause of | deportacion de comunistas
ejercito | cause of | detention
ejercito | cause of | detention
ejercito | cause of | exposure to extreme temperatures
juventudes comunistas | affected by | fusilamiento
juventudes comunistas | affected by | fusilamiento
mapu oc | affected by | fusilamiento
gendarmeria | affected by | detention at carcel publica de arica
ejercito | cause of | selection
armada | affected by | interrogation
ejercito | cause of | execution
comisaria de chol-chol | cause of | detenido en septiembre
regimiento arica | affected by | detenido en mayo
destacamento de infanteria de marina n° 4 cochrane | affected by | detenido en septiembre
comisaria de salamanca | affected by | detenido en septiembre
carabineros de valdivia | affected by | detenido en septiembre
estadio regional de concepcion | affected by | detenido en noviembre
gendarmeria | cause of | detentions
valech | affected by | detentions
dictadura | unspecified | detentions
patria y libertad | unspecified | attack at iglesia del carmen
serpaj | unspecified | death
coordinadora serpaj | unspecified | death
organismos de seguridad | cause of | detenido en septiembre de 1973
organismos de seguridad | cause of | detenido en septiembre de 1973
dina | affected by | detenida en enero de 1974
dina | affected by | detenido en enero de 1975
organismos de seguridad | cause of | detenido en diciembre de 1983
carabineros | cause of | detenido en septiembre
regimiento chorrillos de talca | cause of | detenido en diciembre
regimiento yungay de san felipe | cause of | detenido en octubre
cuartel general de investigaciones (general mackenna) | cause of | detenido en diciembre
udi | affected by | detenciones
sexta division del ejercito | unspecified | detenciones
vicaria de la solidaridad | cause of | hallazgo de pisagua
grupo proceso | unspecified | hallazgo de pisagua
informe rettig | cause of | detention
informe valech | affected by | detention
batallon logistico n° 6 pisagua | cause of | detention
campamento de prisioneros de pisagua | cause of | detention
partido socialista | affected by | execution
agitacion y propaganda | cause of | execution
colegio don bosco | cause of | arrest
carabineros | affected by | death
congregacion salesiana | unspecified | death
carabineros | cause of | detention
carabineros | affected by | death
carabineros | unspecified | legal process
congregacion salesiana | unspecified | detention
investigaciones | cause of | disappearance
cire, centro de inteligencia regional | affected by | execution
partido socialista | unspecified | execution
juventudes comunistas | cause of | michel nash
partido socialista | affected by | jorge marin rossel
partido socialista | affected by | williams millar sanhueza
partido socialista | affected by | manuel heriberto araya zavala
consejo de monumentos nacionales | unspecified | muerte
partido obrero socialista | cause of | muerte
partido comunista de chile | unspecified | muerte
ex carcel publica | affected by | declaration
teatro municipal | unspecified | utilization
fosa | affected by | discovery
ministerio de educacion | cause of | declaration
teatro municipal | affected by | declaration
regimiento de telecomunicaciones | unspecified | declaration
supermercado | unspecified | declaration
ejercito | unspecified | declaration
partido comunista | unspecified | declaration
carabineros | unspecified | declaration
ejercito | affected by | disappearance
servicio de inteligencia militar | affected by | disappearance
comision nacional de verdad y reconciliacion | cause of | disappearance
policia de investigaciones de arica | cause of | detention
ministerio del interior | cause of | detention
consejo de defensa del estado | cause of | muertes
corte suprema | affected by | muertes
partido comunista | affected by | ejecucion
mapu | unspecified | ejecucion
ministerio publico | cause of | isaias higueras zuniga
diario fortin mapocho | affected by | isaias higueras zuniga
museo de la memoria | affected by | isaias higueras zuniga
ejercito de chile | unspecified | isaias higueras zuniga
museo de la memoria | unspecified | hugo martinez guillen
museo de la memoria | unspecified | juan rojas osega
museo de la memoria | unspecified | alberto yanez carvajal
marina | cause of | fusilamiento
marina | cause of | fusilamiento
mir | cause of | fusilamiento
mir | unspecified | muerto en tortura
ejercito | cause of | utilizado
organismos de derechos humanos | affected by | utilizado
juventudes comunistas | unspecified | fusilado
consejo defensa del estado | unspecified | fusilado
colegio don bosco | cause of | death
ejercito | cause of | detenidos en campamento
jjcc | affected by | detenido
udi | cause of | intento de cambio de nombre
comision nacional de verdad y reconciliacion | affected by | muerte
juventud socialista | affected by | detention
juventud socialista | affected by | disappearance
juventud socialista | cause of | fugitive report
juventud socialista | cause of | fugitive report
empresa portuaria de chile | affected by | detention
empresa portuaria de chile | affected by | disappearance
empresa portuaria de chile | cause of | fugitive report
empresa portuaria de chile | cause of | fugitive report
ferrocarriles del estado de iquique | affected by | disappearance
ferrocarriles del estado de iquique | cause of | fugitive report
ferrocarriles del estado de iquique | cause of | fugitive report
ministerio del interior | cause of | detention center los condores
fach | affected by | detention center los condores
sifa | affected by | detention center los condores
difa | affected by | detention center los condores
ejercito | cause of | detention and torture at battalion logistico n° 6 pisagua
sexta division | cause of | detention and torture at campamento de prisioneros de pisagua
corte suprema | cause of | condena
fisco | affected by | condena
carabineros | unspecified | condena
servicio de inteligencia de carabineros | unspecified | condena
servicio de inteligencia de la fuerza aerea | cause of | base aerea los condores
fuerza aerea | affected by | base aerea los condores
difa | unspecified | base aerea los condores
carcel buen pastor de iquique | cause of | carcel buen pastor
carcel publica de arica | affected by | carcel publica de arica
izquierda cristiana | affected by | detention
carabineros | cause of | detention
carabineros | cause of | detention
militantes socialistas | cause of | fusilamiento
militantes socialistas | cause of | fusilamiento
juventudes comunistas | cause of | fusilamiento
mir | cause of | fusilamiento
mapu oc | cause of | fusilamiento
comunistas | cause of | fusilamiento
militantes socialistas | affected by | muerto en tortura
presos politicos | cause of | detention center
campamento de prisioneros de pisagua | affected by | detention center
sexta division del ejercito | unspecified | detention center
informe valech | unspecified | detention center
carabineros | cause of | arrest
carabineros | affected by | death
congregacion salesiana | unspecified | arrest
pisagua | cause of | nelson marquez
martires de pisagua | affected by | martires de pisagua
luis a. lizardi lizardi | affected by | julio c cabezas gacitua
marcelo o. guzman fuentes | affected by | jose r cordova croxato
nolberto jesus canas | affected by | juan valencia hinojosa
michel selim nash saez | affected by | mario morris barrios
juan calderon villalon | affected by | humberto lizardi flores
juan jimenez vidal | affected by | freddy taberna gallegos
julio c. cabezas gacitua | affected by | jose sampson ocaranza
jose r. cordova croxato | affected by | juan a ruz diaz
juan valencia hinojosa | affected by | rodolfo fuenzalida fernandez
mario morris barrios | affected by | german palominos lamas
nelson marquez | affected by | luis higuera
luis toro castillo | affected by | luis toro castillo
alberto yanez carvajal | affected by | alberto yanez carvajal
manuel sanhueza mellado | affected by | manuel sanhueza mellado
marcelino lamas largo | affected by | marcelino lamas largo
cni | affected by | death
ejercito de chile | cause of | detention
policia de investigaciones de arica | affected by | detention
comision | unspecified | confirmation of sentence
comision | unspecified | sentencing
ejercito de chile | cause of | death
centro de inteligencia regional | unspecified | death
centro de inteligencia regional | cause of | secuestro de grober venegas
ejercito de chile | affected by | sentencia de primera instancia
ejercito de chile | affected by | condena por violacion a los derechos humanos
policia de investigaciones | affected by | sentencia de primera instancia
policia de investigaciones | affected by | condena por violacion a los derechos humanos
ejercito de chile | cause of | execution
corte de apelaciones de arica | affected by | confirmation of conviction
cire | unspecified | confirmation of sentence
ejercito | unspecified | declaration of monument
carabineros | cause of | death
vicaria de la solidaridad | affected by | death
partido socialista | affected by | arrest
partido socialista | affected by | execution
partido comunista | affected by | arrest
partido comunista | affected by | execution
juventudes comunistas | unspecified | sentencing
cire | unspecified | disappearance
carcel publica de arica | affected by | detention
carcel publica de arica | cause of | increase of detainees
carcel publica de arica | cause of | transfer of female prisoners
centros de inteligencia regional (cire) | cause of | disappearance of grober venegas islas
vicaria de la solidaridad | cause of | discovery of clandestine grave
ejercito de chile | affected by | discovery of clandestine grave
corte de apelaciones de iquique | unspecified | discovery of clandestine grave
ministerio publico | unspecified | filing of lawsuit
servicio medico legal | unspecified | discovery of clandestine grave
corte de apelaciones | unspecified | filing of lawsuit
partido socialista | unspecified | execution of juan calderon villalon
departamento de investigaciones aduaneras | unspecified | execution of juan calderon villalon
mir | cause of | fusilamiento
mir | affected by | estado de emergencia
dina | cause of | arrest
dina | affected by | medical treatment
cni | cause of | arrest
cni | affected by | medical treatment
ministerio secretaria general de la presidencia | cause of | declaration
consejo de monumentos nacionales | cause of | declaration
contraloria general de la republica | cause of | declaration
chile | affected by | use
dina | cause of | detenido en septiembre de 1973
escuela de artilleria de linares | cause of | detenido en octubre de 1973
comisaria de curanilahue | cause of | detenido en octubre de 1973
ley de fuga | cause of | execution
consejos de guerra | cause of | execution
mapu oc | unspecified | execution
mir | unspecified | execution
dina | affected by | detencion
cni | cause of | detenido en octubre de 1985
infanteria de marina | cause of | detenido en octubre de 1973
carabineros | cause of | detenido en agosto de 1974
carabineros de chile | cause of | arrest
hombre detenido en noviembre de 1975 | was present at | villa grimaldi
mujer detenida | was present at | vallenar
hombre detenido en noviembre de 1975 | was present at | arica
hombre detenido en noviembre de 1975 | was present at | calama
hombre detenido en noviembre de 1975 | was present at | talca
mujer detenida | was present at | estadio nacional
hombre detenido en noviembre de 1975 | was present at | cerro chena
claudio nash | was present at | pisagua
oscar varela | was present at | pisagua
juan ramirez | was present at | pisagua
jaime coronil | was present at | pisagua
juan valencia hinojosa | was present at | pisagua
jose humberto lizardi flores | was present at | pisagua
mario morris barrios | was present at | valparaiso
freddy taberna gallegos | was present at | iquique
manuel delano | was present at | iquique
pedro arancibia | was present at | pisagua
viadislav kuzmicic | was present at | pisagua
alberto newmann | was present at | pisagua
felix morales cortes | was present at | pisagua
freddy taberna gallegos | was present at | pisagua
jose demostenes rosier sampson ocaranza | was present at | pisagua
juan antonio ruz diaz | was present at | pisagua
rodolfo jacinto fuenzalida fernandez | was present at | pisagua
luis alberto lizardi lizardi | was present at | pisagua
marcelo omar guzman fuentes | was present at | pisagua
nelson munoz morales | was present at | pisagua
hector taberna | was present at | pisagua
unspecified hombre | was present at | cerro chena
unspecified hombre | was present at | isla quiriquina
unspecified hombre | was present at | base aerea cerro moreno
unspecified hombre | was present at | comisaria de chol-chol
felipe valenzuela | was present at | campo de detencion de pisagua
hector salazar | was present at | campo de detencion de pisagua
carlos vilas | was present at | campo de detencion de pisagua
ernesto montoya | was present at | campo de detencion de pisagua
alberto neumann lagos | was present at | pisagua
francisco prieto | was present at | campo de detencion de pisagua
michel selim nash saez | was present at | iquique
michel selim nash saez | was present at | pisagua
freddy marcelo taberba gallegos | was present at | pisagua
javier prado aranguiz | was present at | pisagua
augusto pinochet ugarte | was present at | pisagua
julio cesar cabezas gacitua | was present at | pisagua
carlos vila | was present at | iquique
haroldo quinteros | was present at | pisagua
hernan sanchez marre | was present at | pisagua
unspecified hombre | was present at | estadio regional de concepcion
unspecified hombre | was present at | fuerte borgono
unspecified hombre | was present at | regimiento n 14 de aysen
unspecified hombre | was present at | campo de prisioneros chacabuco
unspecified hombre | was present at | grupo de instruccion de carabineros
alberto neumann lagos | was present at | valparaiso
pilo durana | was present at | bolsonaro
pilo durana | was present at | iglesia del carmen
pilo durana | was present at | campamento las machas
pilo durana | was present at | calle yungay
pilo durana | was present at | calle colon
pilo durana | was present at | calle baquedano
pilo durana | was present at | calle diego portales
erick claussen sparenberg | was present at | base aerea los condores
erick claussen sparenberg | was present at | batallon logistico n° 6 pisagua
erick claussen sparenberg | was present at | campamento de prisioneros de pisagua
marcelo omar guzman fuentes | was present at | pisagua
nolberto jesus canas | was present at | pisagua
michael nash | was present at | pisagua
juan efrain calderon villalon | was present at | pisagua
luis alberto lizardi lizardi | was present at | pisagua
juan jimenez vidal | was present at | pisagua
murillo unspecified | was present at | pisagua
unspecified hombre | was present at | chol chol
unspecified hombre | was present at | la serena
unspecified hombre | was present at | cochrane
unspecified hombre | was present at | salamanca
unspecified hombre | was present at | valdivia
unspecified hombre | was present at | concepcion
luis pino soto | was present at | calle luis cruz martinez nº 1260
pilo durana | was present at | rotonda tucapel
tomas orlando cabello cabello | was present at | pisagua
nicolas chanez chanez | was present at | pisagua
juan apolinario mamani garcia | was present at | pisagua
luis anibal manriquez wilden | was present at | pisagua
hugo tomas martinez guillen | was present at | pisagua
juan orlando rojas osega | was present at | pisagua
julio cesar cabezas gacitua | was present at | pisagua
jose rufino cordova croxatto | was present at | pisagua
jose humberto lizardi flores | was present at | pisagua
mario morris barrios | was present at | pisagua
juan valencia hinojosa | was present at | pisagua
rodolfo jacinto fuenzalida fernandez | was present at | pisagua
juan antonio ruz diaz | was present at | pisagua
jose demostenes rosier sampson ocaranza | was present at | pisagua
freddy marcelo taberba gallegos | was present at | pisagua
german eladio palominos lamas | was present at | pisagua
juan alarcon | was present at | pisagua
michel selim nash saez | was present at | pisagua
unspecified hombre | was present at | copiapo
unspecified hombre | was present at | andes
unspecified mujer | was present at | londres 38
unspecified hombre | was present at | villa grimaldi
carabinero unspecified | was present at | rahue
sargento unspecified | was present at | talca
subteniente unspecified | was present at | san felipe
capitan unspecified | was present at | general mackenna
luis pino soto | was present at | pisagua
pilo durana | was present at | arica
mario morris barrios | was present at | cementerio de pisagua
jose r. cordova croxato | was present at | cementerio de pisagua
jose humberto lizardi flores | was present at | cementerio de pisagua
mario morris barrios | was present at | calle luis cruz martinez
jose r. cordova croxato | was present at | calle luis cruz martinez
jose humberto lizardi flores | was present at | calle luis cruz martinez
oscar walter pedro ripollcodoceo | was present at | regimiento rancagua
julio gaston valenzuela bastias | was present at | arica
manuel francisco donoso danobeitia | was present at | arica
gerardo poblete | was present at | iquique
blas espinoza barraza | was present at | pisagua
froilan moncada saez | was present at | pisagua
gerardo poblete | was present at | colegio don bosco
gustavo erme san martin ravanal | was present at | colegio don bosco
enzo meniconi lorca | was present at | colegio don bosco
hugo grober venegas islas | was present at | valle de azapa
jose luis catalan reyes | was present at | rotonda camino azapa
jose lautaro vignolo quezada | was present at | valle de azapa
miguel nash | was present at | caleta de pisagua
juan antonio ruz diaz | was present at | caleta de pisagua
marcelo omar guzman fuentes | was present at | caleta de pisagua
luis alberto lizardi lizardi | was present at | caleta de pisagua
norberto canas | was present at | caleta de pisagua
julio cesar cabezas gacitua | was present at | caleta de pisagua
juan valencia hinojosa | was present at | caleta de pisagua
